pipeline,metric,treated,is_real,tau_hat_d,se_d
raw,POS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,-2.5911,2.5371
raw,POS,Baleshwar|Bhadrak|Dhenkanal|Kendrapara|Puri,False,-2.5911,2.5371
raw,POS,Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara|Puri,True,-3.5867,2.5155
raw,POS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,2.92,3.286
raw,POS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,0.7156,3.5292
raw,POS,Baleshwar|Cuttack|Dhenkanal|Kendrapara|Puri,False,0.7156,3.5292
raw,POS,Baleshwar|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-0.28,3.6793
raw,POS,Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,2.92,3.286
raw,POS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,-0.3867,2.7235
raw,POS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,-2.5911,2.5371
raw,POS,Bhadrak|Cuttack|Dhenkanal|Kendrapara|Puri,False,-2.5911,2.5371
raw,POS,Bhadrak|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-3.5867,2.5155
raw,POS,Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-0.3867,2.7235
raw,POS,Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,2.92,3.286
raw,EOS,Angul|Baleshwar|Bhadrak|Cuttack|Dhenkanal,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Cuttack|Jagatsinghpur,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Cuttack|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Cuttack|Puri,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Puri,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Baleshwar|Bhadrak|Kendrapara|Puri,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Dhenkanal|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Dhenkanal|Puri,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Baleshwar|Cuttack|Kendrapara|Puri,False,,
raw,EOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Baleshwar|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Angul|Baleshwar|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Dhenkanal|Puri,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Bhadrak|Cuttack|Kendrapara|Puri,False,,
raw,EOS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Bhadrak|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Angul|Bhadrak|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Angul|Cuttack|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Angul|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Angul|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Cuttack|Kendrapara|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara|Puri,True,,
raw,EOS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Baleshwar|Cuttack|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Baleshwar|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,,
raw,EOS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,,
raw,EOS,Bhadrak|Cuttack|Dhenkanal|Kendrapara|Puri,False,,
raw,EOS,Bhadrak|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,,
raw,EOS,Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,,
corrected,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Dhenkanal,False,26.4478,13.5708
corrected,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Jagatsinghpur,False,30.8051,12.2792
corrected,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Kendrapara,False,21.9873,14.1419
corrected,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Puri,False,20.7998,14.1801
corrected,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur,False,34.0371,11.3394
corrected,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Kendrapara,False,25.2193,13.7153
corrected,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Puri,False,24.0318,13.8051
corrected,SOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara,False,29.5767,12.5163
corrected,SOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Puri,False,28.3891,12.6887
corrected,SOS,Angul|Baleshwar|Bhadrak|Kendrapara|Puri,False,19.5713,14.2305
corrected,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur,False,-3.938,22.9696
corrected,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Kendrapara,False,-12.7558,21.5858
