district,district_id,year,year_type,cyclone_exposure,cyclone_year_event,pipeline,metric,median_doy,p25_doy,p75_doy,boot_p025,boot_p975,n_pixels,v21_f,v21_delta_cyc,v21_correction_days,v21_share_source
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,raw,POS,289.0,284.28,293.72,287.63,290.37,23838537,,,,
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,corrected,POS,288.99,284.28,293.72,287.63,290.37,23838537,0.001671,7.0,-0.01,provisional_label_density × Module08 polygon-area
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,raw,EOS,350.0,345.28,354.72,348.63,351.37,23838537,,,,
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,corrected,EOS,349.96,345.28,354.72,348.63,351.37,23838537,0.001671,21.0,-0.04,provisional_label_density × Module08 polygon-area
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,raw,SOS,166.0,156.95,175.05,163.37,168.63,23045480,,,,
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,corrected,SOS,165.97,156.95,175.05,163.37,168.63,23045480,0.002228,14.0,-0.03,provisional_label_density × Module08 polygon-area
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,raw,POS,288.0,283.28,292.72,286.63,289.37,23045480,,,,
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,corrected,POS,287.98,283.28,292.72,286.63,289.37,23045480,0.002228,7.0,-0.02,provisional_label_density × Module08 polygon-area
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,raw,EOS,349.0,344.28,353.72,347.63,350.37,23045480,,,,
Baleshwar,bls,2021,treatment,coastal_treatment,Yaas,corrected,EOS,348.95,344.28,353.72,347.63,350.37,23045480,0.002228,21.0,-0.05,provisional_label_density × Module08 polygon-area
Baleshwar,bls,2022,control,coastal_treatment,,raw,SOS,258.0,253.28,262.72,256.63,259.37,23928067,,,,
Baleshwar,bls,2022,control,coastal_treatment,,corrected,SOS,258.0,253.28,262.72,256.63,259.37,23928067,0.0,0.0,0.0,none
Baleshwar,bls,2022,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,23928067,,,,
Baleshwar,bls,2022,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,23928067,0.0,0.0,0.0,none
Baleshwar,bls,2022,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,23928067,,,,
