cyclone,district,lon,lat,source
Fani,Puri,85.66195310494719,19.97237845912194,Copernicus EMS EMSR357
Fani,Puri,85.2636401079686,19.61987954163344,Copernicus EMS EMSR357
Fani,Puri,85.8791657406473,20.09499849540425,Copernicus EMS EMSR357
Fani,Puri,85.93387314145018,19.890182610625004,Copernicus EMS EMSR357
Fani,Cuttack,85.7627440798254,20.45773820713172,Copernicus EMS EMSR357
Fani,Puri,85.96971592128654,20.00902972271402,Copernicus EMS EMSR357
Fani,Puri,85.6808177259137,20.005256798520715,Copernicus EMS EMSR357
Fani,Puri,85.8619180871922,19.841943079867782,Copernicus EMS EMSR357
Fani,Puri,85.89587440493192,19.977229361656185,Copernicus EMS EMSR357
Fani,Puri,85.27253342928138,19.5729874838024,Copernicus EMS EMSR357
Fani,Cuttack,85.85491122797606,20.525650842611157,Copernicus EMS EMSR357
Fani,Puri,85.76786447694488,19.92333044460901,Copernicus EMS EMSR357
Fani,Cuttack,85.90368974790375,20.37877629365761,Copernicus EMS EMSR357
Fani,Puri,85.75654570436498,20.046219975476564,Copernicus EMS EMSR357
Fani,Cuttack,85.93683758188777,20.332423224997044,Copernicus EMS EMSR357
Fani,Puri,85.26606555923571,19.619610047048205,Copernicus EMS EMSR357
Fani,Cuttack,85.94788685988243,20.31625354988289,Copernicus EMS EMSR357
Fani,Cuttack,85.94141898983678,20.450192358745117,Copernicus EMS EMSR357
Fani,Cuttack,85.95704967578045,20.33404019250846,Copernicus EMS EMSR357
Fani,Puri,85.64740039734446,19.889374126869296,Copernicus EMS EMSR357
Amphan,Kendrapara,86.76876736651086,20.55664271991328,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.46235202309768,20.24753243064775,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.89165689737841,20.871142900883523,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.95013722237458,20.75849416425493,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.56368198714637,20.275829362097515,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.82563072399562,20.580897232584505,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.5736532868001,20.243220517283977,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.41465148151094,20.172343441366948,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.72753469496976,20.860632612059323,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.53188162608853,20.230823766363127,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.79948974922775,20.78463513902281,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.80002873839821,20.56230210620323,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.6690543699736,20.555025752401864,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.87413974933807,20.93905553636296,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.9223792800953,20.71780048188432,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.64345238437618,20.867100482104984,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.91294696961204,20.843654453189465,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.32742964170478,21.598239291849865,Sentinel-1 SAR change detection (Module 08)
